FEATURE,IMPORTANCE_GAIN,IMPORTANCE_WEIGHT,IMPORTANCE_COVER,RANK_GAIN
PAY_MAX,499.4088134765625,78.0,3189.572021484375,1
PAY_0,144.539794921875,123.0,3276.887939453125,2
DELINQ_COUNT,138.4301300048828,52.0,2220.61181640625,3
PAY_MEAN,49.87495422363281,169.0,879.5375366210938,4
PAY_AMT_MEAN,18.218109130859375,436.0,707.5170288085938,5
BILL_MEAN,17.515607833862305,290.0,902.6212768554688,6
UTILIZATION,15.920633316040039,490.0,841.4332275390625,7
LIMIT_PER_AGE,14.913141250610352,478.0,699.5026245117188,8
BILL_AMT1,14.738344192504883,362.0,791.3525390625,9
PAY_AMT2,14.123016357421875,333.0,822.2572021484375,10
PAY_2,14.078474044799805,65.0,936.273681640625,11
BILL_AMT2,13.57111930847168,237.0,683.4490356445312,12
EDUCATION_4,13.377827644348145,67.0,2452.565185546875,13
PAY_4,13.222772598266602,32.0,620.3590087890625,14
PAY_AMT1,12.974329948425293,365.0,831.9087524414062,15
LIMIT_BAL,12.914546012878418,255.0,577.63623046875,16
PAY_6,12.886491775512695,43.0,544.931396484375,17
PAY_AMT3,12.636937141418457,396.0,806.9577026367188,18
PAY_3,12.122669219970703,50.0,610.0730590820312,19
BILL_AMT5,11.98111343383789,284.0,826.9494018554688,20
PAYMENT_RATIO,11.748260498046875,372.0,748.7687377929688,21
PAY_AMT6,11.640040397644043,331.0,601.5203247070312,22
BILL_AMT3,11.600502967834473,224.0,798.6636962890625,23
BILL_AMT4,11.538171768188477,243.0,701.101806640625,24
PAY_AMT4,11.363256454467773,310.0,618.1526489257812,25
BILL_AMT6,11.235934257507324,258.0,654.7682495117188,26
PAY_5,11.12147045135498,41.0,380.8055419921875,27
SEX_MALE,11.021925926208496,75.0,982.4849853515625,28
PAY_AMT5,10.708820343017578,307.0,697.1303100585938,29
MARRIAGE_3,10.572257995605469,5.0,1209.8095703125,30
AGE,10.423188209533691,407.0,554.0333251953125,31
MARRIAGE_2,10.21328353881836,67.0,1098.6480712890625,32
EDUCATION_2,10.075836181640625,48.0,512.8626708984375,33
EDUCATION_3,8.74898910522461,30.0,292.1896057128906,34
